OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
42,144,345646.47600000002,4710164.18599999975,985.13200000000,0.20000000000,0.20000000000,29/03/202310:15:05am,Psr F d,Pino silvestre,222,345646.47580000001,4710164.18620000035,984.996032714844
43,32,346794.23200000002,4710326.08700000029,986.76800000000,0.10000000000,0.10000000000,29/03/202311:56:06am,Pnr F s,Pino laricio,122,346794.23200000002,4710326.08719999995,987.197021484375
44,148,346099.70199999999,4710344.11799999978,985.83900000000,0.30000000000,0.20000000000,29/03/202311:19:30am,Psr F d,Pino silvestre,232,346099.70220000000,4710344.11840000004,984.320068359375
45,147,346627.73700000002,4710966.78699999955,992.32500000000,0.30000000000,0.20000000000,29/03/202310:48:07am,Psr F d,Pino silvestre,222,346627.73660000000,4710966.78670000006,989.760070800781
46,310,360390.30300000001,4711552.77900000010,1058.57350000000,0.03400000000,0.03960000000,"31/03/2023
03:09:10",Ptr F d,Pino pinaster,122,360390.30300000001,4711552.77900000010,1003.07604980469
47,309,360615.75740000000,4711651.15299999993,1006.05250000000,0.00000000000,0.00000000000,,Ptr F s,Pino pinaster,112,360615.75740000000,4711651.15299999993,1004.123046875
48,31,363679.50520000001,4712126.18499999959,1054.68540000000,0.07530000000,0.07710000000,"31/03/2023
01:25:09",Pnr F d,Pino laricio,112,363679.50520000001,4712126.18499999959,1001.33203125
49,30,347253.35300000000,4712190.05300000031,1001.49800000000,0.40000000000,0.30000000000,29/03/202312:38:44pm,Pnr F d,Pino laricio,342,347253.35259999998,4712190.05350000039,996.800048828125
50,209,357848.57380000001,4712844.82400000002,1068.16340000000,0.17870000000,0.11830000000,"22/03/2023
12:18:33",(PsxPn)r F d,Pinar mixto de laricio y silvestre,322,357848.57380000001,4712844.82400000002,1010.38806152344
51,1006,364444.73820000002,4712855.22099999990,1046.53690000000,0.02920000000,0.02920000000,"22/03/2023
06:16:27",Pnr F d,Pino laricio,332,364444.73820000002,4712855.22099999990,989.7724609375
52,1011,363374.73430000001,4713298.00000000000,1061.01450000000,0.01280000000,0.01000000000,"31/03/2023
01:59:59",Pnr F d,Pino laricio,212,363374.73430000001,4713298.00000000000,1006.12451171875
53,29,344257.41300000000,4715047.87299999967,1012.83600000000,0.40000000000,0.30000000000,03/04/202301:26:20pm,Pnr F d,Pino laricio,222,344257.41310000001,4715047.87310000043,1010.14404296875
54,1502,363368.54259999999,4715279.28399999999,1065.30530000000,0.02900000000,0.02150000000,"22/03/2023
07:05:36",Qpt LA d,Rebollo,232,363368.54259999999,4715279.28399999999,1009.41912841797
55,308,359194.88770000002,4715352.29399999976,1019.39350000000,0.00000000000,0.00000000000,,Ptr F d,Pino pinaster,112,359194.88770000002,4715352.29399999976,1021.31005859375
56,502,363301.33710000000,4715647.71600000001,1069.23710000000,0.03140000000,0.01550000000,"22/03/2023
07:42:46",Qpt LA d,Rebollo,111,363301.33710000000,4715647.71600000001,1013.42407226562
