"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"DF","schumacher_1939",13928.4497930115,0.885606360485367,4.07548557864824,3.07133906762766,-0.314610625394726,13911.0236050913,-6952.51180254563,"DF_schumacher_1939"
"DF","elmamoun_2013_M2",13928.4497930115,0.885606360485367,4.07548557864824,3.07133906762766,-0.314610625394726,13911.0236050913,-6952.51180254563,"DF_elmamoun_2013_M2"
"DF","elmamoun_2013_M17",13928.4497930586,0.885606360483178,4.07548557868723,3.07133995042976,-0.314620437874273,13911.0236051384,-6952.51180256919,"DF_elmamoun_2013_M17"
"DF","gompertz_model",13950.7188992165,0.884932500816319,4.08747170314719,3.02807844665994,0.0839801605357778,13927.4839819896,-6959.74199099478,"DF_gompertz_model"
"DF","seber_1989",13950.7188997158,0.884932500792983,4.08747170356168,3.02808221399097,0.0839797045603823,13927.4839824889,-6959.74199124443,"DF_seber_1989"
"DF","huang_1992",13950.7189001414,0.884932500773094,4.08747170391493,3.02805971213871,0.083980673493833,13927.4839829144,-6959.74199145721,"DF_huang_1992"
"DF","lebedev_M28_b",13988.2648331075,0.883164252394482,4.11875816448619,3.07604047786172,0.115574267821005,13965.0299158805,-6978.51495794025,"DF_lebedev_M28_b"
"DF","lebedev_M18",13988.2648338931,0.883164252357199,4.11875816514334,3.07603296013733,0.115569401307991,13965.0299166661,-6978.51495833306,"DF_lebedev_M18"
"DF","elmamoun_2013_M18",13987.6008474971,0.882824701669064,4.12473883699877,3.0326086999382,0.129452013866559,13970.1746595769,-6982.08732978844,"DF_elmamoun_2013_M18"
"DF","wykoff_1982_I",14002.2982882203,0.882123106340258,4.13706898937907,3.20534098593926,-0.409073567658684,13984.8721003001,-6989.43605015004,"DF_wykoff_1982_I"
"DF","exponential_model",14002.2982882895,0.882123106336943,4.13706898943723,3.2053413884617,-0.409077897814645,13984.8721003693,-6989.43605018466,"DF_exponential_model"
"DF","huang_2000_III",14040.1052479653,0.880298995550976,4.16895607432001,3.23863714780082,-0.445204169482705,14022.679060045,-7008.33953002251,"DF_huang_2000_III"
"DF","curtis_1967_III",14040.1052483143,0.880298995534003,4.16895607461557,3.23863511777056,-0.445183986560185,14022.6790603941,-7008.33953019706,"DF_curtis_1967_III"
"DF","burkhart_strub_1974",14076.9635387514,0.878493485635896,4.200279620475,3.26986408509852,-0.477937179378739,14059.5373508311,-7026.76867541556,"DF_burkhart_strub_1974"
"DF","staudhammer_lemay_2000",14076.9635391234,0.878493485617534,4.20027962079237,3.26986506159846,-0.477947613498791,14059.5373512032,-7026.76867560159,"DF_staudhammer_lemay_2000"
"DF","huang_1992_VII",14202.6170241767,0.872536081179183,4.30201633571971,3.27453436168672,0.167067744178637,14179.3821069497,-7085.69105347487,"DF_huang_1992_VII"
"DF","logistic_model",14202.6170241767,0.872536081179183,4.30201633571971,3.27453436168672,0.167067744178637,14179.3821069497,-7085.69105347487,"DF_logistic_model"
"DF","pearl_1920",14202.6170281038,0.872536080975868,4.30201633915073,3.27450826161324,0.167065887271631,14179.3821108768,-7085.69105543841,"DF_pearl_1920"
"DF","lebedev_M13",14266.4033959599,0.86919054914854,4.35810794644503,3.34106364108697,0.208425180785373,14243.168478733,-7117.58423936649,"DF_lebedev_M13"
"DF","lebedev_M15",14266.4033960603,0.869190549143209,4.35810794653384,3.34106332099498,0.208425283040902,14243.1684788333,-7117.58423941666,"DF_lebedev_M15"
"DF","lebedev_M23",14266.4033962783,0.869190549131628,4.35810794672676,3.34106259746471,0.208425259053211,14243.1684790513,-7117.58423952564,"DF_lebedev_M23"
"DF","power_model",14360.279499946,0.86367477243663,4.44904232727269,3.4159469741937,0.253088853957402,14342.8533120258,-7168.42665601288,"DF_power_model"
"DF","stoffels_1953",14360.2794999653,0.863674772435558,4.44904232729018,3.41593819650101,0.253070491767209,14342.8533120451,-7168.42665602256,"DF_stoffels_1953"
"DF","ogana_2018",14360.279500048,0.863674772430982,4.44904232736486,3.41593644660674,0.25306702624886,14342.8533121278,-7168.42665606388,"DF_ogana_2018"
"DF","larsen_hann_1987",14386.9084565265,0.862628670420745,4.46607973783104,3.43802477160987,0.253056843421972,14363.6735392996,-7177.83676964978,"DF_larsen_hann_1987"
"DF","elmamoun_2013_M1",14452.5669579733,0.858467671420494,4.53321427734928,3.5381085840456,0.330568344478497,14435.140770053,-7214.57038502651,"DF_elmamoun_2013_M1"
"DF","hui_gadow_1993_III",14452.5669579733,0.858467671420494,4.53321427734928,3.5381085840456,0.330568344478497,14435.140770053,-7214.57038502651,"DF_hui_gadow_1993_III"
"DF","elmamoun_2013_M21",14478.2924415697,0.857433938971938,4.54973914179737,3.55917876060589,0.303230483840815,14455.0575243427,-7223.52876217135,"DF_elmamoun_2013_M21"
"DF","elmamoun_2013_M3",14483.7616110248,0.857116885911918,4.55479542096213,3.56530334491424,0.300412181209171,14460.5266937978,-7226.26334689892,"DF_elmamoun_2013_M3"
"DF","lebedev_M16",14600.4436325175,0.850182168852109,4.66401753708726,3.61550778551962,0.237525102041071,14577.2087152905,-7284.60435764524,"DF_lebedev_M16"
"DF","linear_model_II",15594.6780520304,0.774927220793732,5.71662769170265,4.54016596709642,2.81540583359014e-08,15577.2518641101,-7785.62593205507,"DF_linear_model_II"
"DF","linear_model_I",15724.3056835737,0.762759316924396,5.8691202110241,4.5711473884248,-7.90270094749688e-09,15706.8794956535,-7850.43974782673,"DF_linear_model_I"
"DF","lebedev_M24",16009.4926515755,0.734467046602914,6.20922839517399,4.49129036837989,-0.220998775964114,15986.2577343485,-7989.12886717427,"DF_lebedev_M24"
"DF","lebedev_M19",16184.3670559514,0.714920422668903,6.43370990909681,5.3638215636145,-0.208573633867488,16161.1321387244,-8076.56606936222,"DF_lebedev_M19"
"DF","ratkowsky_1990",17723.5118832436,0.467315813180331,8.79454396198019,7.30416644002515,-0.116742105041168,17700.2769660166,-8846.13848300832,"DF_ratkowsky_1990"
"DF","huang_1992_I",19144.7521498656,0.0511987472522577,11.7372416649768,9.80766368098561,0.0707027999100848,19121.5172326386,-9556.7586163193,"DF_huang_1992_I"
