"species","model","term","estimate","std.error","statistic","p.value"
"DF","elmamoun_2013_M17","a",3.83481709019408,0.00728072347554463,526.708245832289,0
"DF","elmamoun_2013_M17","b",-18.6522640396304,0.251731308187342,-74.095924634647,0
"DF","gompertz_model","a",38.8594090009566,0.288512534329359,134.688806818339,0
"DF","gompertz_model","b",-2.46095000834281,0.0407352675563399,-60.4132525934471,0
"DF","gompertz_model","c",0.0583294322947806,0.0011350679221804,51.3884950450659,0
"DF","seber_1989","beta0",38.8595082870723,0.288514872876338,134.688059231276,0
"DF","seber_1989","beta1",0.0583290236726217,0.00113506010989048,51.3884887367328,0
"DF","seber_1989","beta2",15.4390485535263,0.212890975358476,72.5209160582279,0
"DF","huang_1992","beta0",38.8589299617935,0.288501160922317,134.692456132809,0
"DF","huang_1992","beta1",2.460985271746,0.0407371131394894,60.4113812218173,0
"DF","huang_1992","beta2",0.0583314257813699,0.00113510579601163,51.3885366336126,0
"DF","lebedev_M28_b","a",1.06271868696346,0.00129182296999714,822.650403070176,0
"DF","lebedev_M28_b","b",37.2884963557235,0.283587998090851,131.488273857688,0
"DF","lebedev_M28_b","c",-44.6415911399985,0.583920512964739,-76.4514863732734,0
"DF","lebedev_M18","a",0.0608311741093723,0.00121559783544817,50.0421869268505,0
"DF","lebedev_M18","b",37.2883466028755,0.283584230822092,131.489492539056,0
"DF","lebedev_M18","c",2.71558792201247,0.0506474492694484,53.6174666480305,0
"DF","elmamoun_2013_M18","a",1.64246297185461,0.0524114995536988,31.3378358917552,1.10113159627817e-181
"DF","elmamoun_2013_M18","b",2.1476048715714,0.0238311055975579,90.1177187428297,0
"DF","wykoff_1982_I","a",3.86564819128664,0.00706057669642684,547.497514366346,0
"DF","wykoff_1982_I","b",18.6388919541859,0.246698597172235,75.5532952673136,0
"DF","exponential_model","a",3.86564917876107,0.00706058024986482,547.497378680043,0
"DF","exponential_model","b",-18.6389310626747,0.246698895276858,-75.5533624978624,0
"DF","huang_2000_III","a",47.2505177708908,0.333041427868992,141.875796273242,0
"DF","huang_2000_III","b",17.9448649967495,0.241834997796526,74.2029282785938,0
"DF","curtis_1967_III","a",47.2502991114198,0.333039067085114,141.876145417331,0
"DF","curtis_1967_III","b",-17.9446845319523,0.241833571851463,-74.2026195724976,0
"DF","burkhart_strub_1974","a",46.7820450485939,0.328994765727677,142.196928103462,0
"DF","burkhart_strub_1974","b",17.2747291223907,0.236855570137715,72.9335987848909,0
"DF","staudhammer_lemay_2000","a",3.84550187470426,0.00703250949719117,546.817871520854,0
"DF","staudhammer_lemay_2000","b",-17.2748211936805,0.236856299216845,-72.9337630065103,0
"DF","huang_1992_VII","a",36.9227536148858,0.237082072573985,155.738277525659,0
"DF","huang_1992_VII","b",6.74552585398737,0.211035150264053,31.9639919963437,8.53675907883636e-188
